DRUG_NAME,Smiles
AZD5363,NC1(CCN(CC1)C1=C2C=CNC2=NC=N1)C(=O)N[C@@H](CCO)C1=CC=C(Cl)C=C1
AZD6738,C[C@@H]1COCCN1C1=NC(=NC(=C1)C1(CC1)[S@](C)(=N)=O)C1=CN=CC2=C1C=CN2
AZD8186,C[C@@H](NC1=CC(F)=CC(F)=C1)C1=CC(=CC2=C1OC(=CC2=O)N1CCOCC1)C(=O)N(C)C
Osimertinib,COC1=C(NC2=NC=CC(=N2)C2=CN(C)C3=C2C=CC=C3)C=C(NC(=O)C=C)C(=C1)N(C)CCN(C)C
Cediranib,COC1=CC2=C(C=C1OCCCN1CCCC1)N=CN=C2OC1=C(F)C2=C(NC(C)=C2)C=C1
Ipatasertib,[H][C@](CNC(C)C)(C(=O)N1CCN(CC1)C1=NC=NC2=C1[C@]([H])(C)C[C@@]2([H])O)C1=CC=C(Cl)C=C1
GDC0810,CC\C(=C(\C1=CC=C(\C=C\C(O)=O)C=C1)C1=CC=C2NN=CC2=C1)C1=CC=C(F)C=C1Cl
GNE-317,CC1=C(SC2=C1N=C(N=C2N3CCOCC3)C4=CN=C(N=C4)N)C5(COC5)OC
GSK2578215A,C1=CC=C(C=C1)COC2=C(C=C(C=C2)C3=CC(=NC=C3)F)C(=O)NC4=CN=CC=C4
I-BRD9,CCN1C=C(C2=C(C1=O)C=C(S2)C(=NC3CCS(=O)(=O)CC3)N)C4=CC(=CC=C4)C(F)(F)F
Telomerase Inhibitor IX,C1=CC(=CC(=C1)NC(=O)C2=C(C(=CC=C2)O)O)NC(=O)C3=C(C(=CC=C3)O)O
MIRA-1,CCC(=O)OCN1C(=O)C=CC1=O
NVP-ADW742,C1CCN(C1)CC2CC(C2)N3C=C(C4=C(N=CN=C43)N)C5=CC(=CC=C5)OCC6=CC=CC=C6
P22077,CC(=O)C1=CC(=C(S1)SC2=C(C=C(C=C2)F)F)[N+](=O)[O-]
Savolitinib,C[C@H](N1N=NC2=NC=C(N=C12)C1=CN(C)N=C1)C1=CN2C=CN=C2C=C1
UMI-77,C1=CC=C2C(=C1)C(=CC(=C2O)SCC(=O)O)NS(=O)(=O)C3=CC=C(C=C3)Br
WIKI4,COC1=CC=C(C=C1)N2C(=NN=C2SCCCN3C(=O)C4=CC=CC5=C4C(=CC=C5)C3=O)C6=CC=NC=C6
Sepantronium bromide,CC1=[N+](C2=C(N1CCOC)C(=O)C3=CC=CC=C3C2=O)CC4=NC=CN=C4.[Br-]
MIM1,CC1=CSC(=NC2CCCCC2)N1N=CC3=C(C(=C(C=C3)O)O)O
WEHI-539,C1CC2=C(C=C(C=C2)C3=NC(=C(S3)CCCOC4=CC=C(C=C4)CN)C(=O)O)C(=NNC5=NC6=CC=CC=C6S5)C1
BPD-00008900,
N25720-51-A1,
N27922-53-1,
N30652-18-1,
N29087-69-1,
HKMTI-1-005,
ICL-SIRT078,
UNC0638,CC(C)N1CCC(CC1)NC2=NC(=NC3=CC(=C(C=C32)OC)OCCCN4CCCC4)C5CCCCC5
AGK2,C1=CC2=C(C=CC=N2)C(=C1)NC(=O)C(=CC3=CC=C(O3)C4=C(C=CC(=C4)Cl)Cl)C#N
Foretinib,COC1=C(OCCCN2CCOCC2)C=C2N=CC=C(OC3=CC=C(NC(=O)C4(CC4)C(=O)NC4=CC=C(F)C=C4)C=C3F)C2=C1
BIBR-1532,CC(=CC(=O)NC1=CC=CC=C1C(=O)O)C2=CC3=CC=CC=C3C=C2
Pyridostatin,C1=CC=C2C(=C1)C(=CC(=N2)NC(=O)C3=CC(=CC(=N3)C(=O)NC4=NC5=CC=CC=C5C(=C4)OCCN)OCCN)OCCN
AMG-319,CC(C1=C(N=C2C=C(C=CC2=C1)F)C3=CC=CC=N3)NC4=NC=NC5=C4NC=N5
MK-8776,CN1C=C(C=N1)C2=C3N=C(C(=C(N3N=C2)N)Br)C4CCCNC4
Vinorelbine,CCC1=CC2CC(C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC
Mycophenolic acid,CC1=C2COC(=O)C2=C(C(=C1OC)CC=C(C)CCC(=O)O)O
Remodelin,C1CCC(=NNC2=NC(=CS2)C3=CC=C(C=C3)C#N)C1
VX-11e,CC1=CN=C(N=C1C2=CNC(=C2)C(=O)NC(CO)C3=CC(=CC=C3)Cl)NC4=C(C=C(C=C4)F)Cl
LJI308,C1COCCN1C2=CC=C(C=C2)C3=C(C=NC=C3)C4=CC(=C(C(=C4)F)O)F
AZ6102,CC1CN(CC(N1)C)C2=NC=C(C(=C2)C)C3=CC=C(C=C3)C4=NC5=C(C=CN5C)C(=O)N4
GSK591,C1CC(C1)NC2=NC=CC(=C2)C(=O)NCC(CN3CCC4=CC=CC=C4C3)O
VE821,CS(=O)(=O)C1=CC=C(C=C1)C2=CN=C(C(=N2)C(=O)NC3=CC=CC=C3)N
VTP-A,
VTP-B,
PBD-288,
POMHEX,CC(C)(C)C(=O)OCOP(=O)(C1CCCN(C1=O)O)OCOC(=O)C(C)(C)C
CT7033-2,
GSK-LSD1-2HCl ,C1CNCCC1NC2CC2C3=CC=CC=C3.Cl.Cl
5-azacytidine,C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N
A-366,COC1=C(C=C2C(=C1)C3(CCC3)C(=N2)N)OCCCN4CCCC4
CPI-637,CC1CC(=O)NC2=CC=CC(=C2N1)C3=CC4=C(C=C3)N(N=C4C5=CN(N=C5)C)C
UNC0379,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCCC3)NCCCCCN4CCCC4)OC
AZD6482,CC1=CN2C(=O)C=C(N=C2C(=C1)C(C)NC3=CC=CC=C3C(=O)O)N4CCOCC4
AT13148,C1=CC(=CC=C1C2=CNN=C2)C(CN)(C3=CC=C(C=C3)Cl)O
BMS-754807,CC1(CCCN1C2=NN3C=CC=C3C(=N2)NC4=NNC(=C4)C5CC5)C(=O)NC6=CN=C(C=C6)F
JQ1,CC1=C(SC2=C1C(=NC(C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C
PFI-1,CN1CC2=C(C=CC(=C2)NS(=O)(=O)C3=CC=CC=C3OC)NC1=O
IOX2,C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=C(C2=O)C(=O)NCC(=O)O)O
CHIR-99021,CC1=CN=C(N1)C2=CN=C(N=C2C3=C(C=C(C=C3)Cl)Cl)NCCNC4=NC=C(C=C4)C#N
SGC0946,CC(C)N(CCCNC(=O)NC1=CC=C(C=C1)C(C)(C)C)CC2C(C(C(O2)N3C=C(C4=C(N=CN=C43)N)Br)O)O
GSK2830371,CC1=C(C=C(C=N1)Cl)NCC2=CC=C(S2)C(=O)NC(CC3CCCC3)C(=O)NC4CC4
THR-101,
THR-102,
THR-103,
ascorbate (vitamin C),[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO
glutathione,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O
alpha-lipoic acid,OC(=O)CCCC[C@@H]1CCSS1
N-acetyl cysteine,CC(=O)NC(CS)C(=O)O
